#####################################################################
# Alchemist log file - simulation started at: 2020-01-14T00:27+0000 #
#####################################################################
# seed = 20.0, cloudcost = 0, taskFrequency = 0.001, algorithm = true
#
# The columns have the following meaning: 
# time taskHops[Mean] hasTask[Sum] tasks[Sum] completedTasks[Sum] giveupTasks[Sum] taskLatency[Sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0 
10.007505682511798 NaN 2.0 2.0 0.0 0.0 0.0 
20.001677156025007 NaN 4.0 4.0 0.0 0.0 0.0 
30.003020646166362 2.0 2.0 5.0 4.0 0.0 66.0 
40.006828102204324 2.0 1.0 5.0 4.0 0.0 66.0 
50.02644274121766 1.8 3.0 7.0 5.0 0.0 93.0 
60.000285247054016 1.5714285714285714 1.0 7.0 7.0 0.0 121.0 
70.0058302042028 1.5714285714285714 0.0 7.0 7.0 0.0 121.0 
80.0086935777517 1.5714285714285714 0.0 7.0 7.0 0.0 121.0 
90.00127197625235 1.5714285714285714 0.0 7.0 7.0 0.0 121.0 
100.00902599135891 1.5714285714285714 2.0 9.0 7.0 0.0 121.0 
110.00390758756033 1.5714285714285714 3.0 11.0 7.0 0.0 121.0 
120.01249185955234 1.7777777777777777 4.0 12.0 9.0 0.0 159.0 
130.00394795952474 1.7777777777777777 3.0 12.0 9.0 0.0 159.0 
140.0013579038331 1.8 2.0 12.0 10.0 0.0 177.0 
150.00398991251453 2.0 3.0 14.0 11.0 0.0 209.0 
160.00095319339252 2.0 3.0 15.0 11.0 0.0 209.0 
170.0097138939446 2.0 5.0 16.0 11.0 0.0 209.0 
180.00293977973442 2.6153846153846154 3.0 16.0 14.0 0.0 333.0 
190.00209383408955 2.7142857142857144 1.0 17.0 15.0 0.0 355.0 
200.00029616616828 2.7333333333333334 1.0 17.0 16.0 0.0 386.0 
210.0007666443274 2.7333333333333334 2.0 20.0 16.0 0.0 386.0 
220.00362608863048 2.8666666666666667 3.0 21.0 17.0 0.0 407.0 
230.0083368400363 2.8823529411764706 2.0 21.0 19.0 0.0 441.0 
240.0022492374345 3.0588235294117645 4.0 23.0 20.0 0.0 473.0 
250.0104142753295 2.8421052631578947 1.0 23.0 22.0 0.0 516.0 
260.0057553748973 2.8 0.0 23.0 23.0 0.0 533.0 
270.0041252196655 2.8 1.0 24.0 23.0 0.0 533.0 
280.00195794108305 2.8 1.0 24.0 23.0 0.0 533.0 
290.0055421839467 2.761904761904762 2.0 26.0 24.0 0.0 553.0 
300.00541299140883 2.761904761904762 3.0 28.0 24.0 0.0 553.0 
310.0082267096107 2.652173913043478 2.0 28.0 26.0 0.0 587.0 
320.00185919952764 2.6956521739130435 3.0 30.0 27.0 0.0 604.0 
330.0013730448092 2.6956521739130435 3.0 30.0 27.0 0.0 604.0 
340.0007465186984 2.6956521739130435 4.0 31.0 27.0 0.0 604.0 
350.00317987386364 2.869565217391304 4.0 32.0 28.0 0.0 632.0 
360.00160145344506 3.1739130434782608 5.0 34.0 29.0 0.0 666.0 
370.0012332592208 3.4400000000000004 5.0 34.0 31.0 0.0 779.0 
380.00882381514117 3.4615384615384617 3.0 35.0 32.0 0.0 807.0 
390.01825391335245 3.4615384615384617 5.0 37.0 32.0 0.0 807.0 
400.00092532975316 3.3571428571428568 5.0 40.0 34.0 0.0 888.0 
410.0427799274043 3.3666666666666663 4.0 40.0 36.0 0.0 937.0 
420.01106163408537 3.354838709677419 3.0 40.0 37.0 0.0 957.0 
430.00029126762405 3.3235294117647056 0.0 40.0 40.0 0.0 1059.0 
440.00124817164885 3.3235294117647056 2.0 42.0 40.0 0.0 1059.0 
450.0017412848466 3.352941176470588 1.0 42.0 41.0 0.0 1072.0 
460.0011825856737 3.4 1.0 43.0 42.0 0.0 1091.0 
470.00672696173103 3.4 1.0 43.0 42.0 0.0 1091.0 
480.00685699694486 3.333333333333333 0.0 43.0 43.0 0.0 1114.0 
490.0032852651959 3.333333333333333 2.0 45.0 43.0 0.0 1114.0 
500.0004032885548 3.236842105263158 1.0 46.0 45.0 0.0 1141.0 
510.0032855908875 3.236842105263158 1.0 46.0 45.0 0.0 1141.0 
520.005746752117 3.282051282051282 2.0 48.0 46.0 0.0 1162.0 
530.0013363332235 3.282051282051282 3.0 49.0 46.0 0.0 1162.0 
540.0057059268089 3.2439024390243905 2.0 50.0 49.0 0.0 1222.0 
550.0025443896719 3.2439024390243905 1.0 51.0 49.0 0.0 1222.0 
560.025441985278 3.2682926829268295 2.0 53.0 50.0 0.0 1237.0 
570.0012634225275 3.3170731707317076 3.0 54.0 51.0 0.0 1257.0 
580.0042629749374 3.2857142857142856 3.0 55.0 52.0 0.0 1274.0 
590.0021577243056 3.4285714285714284 4.0 58.0 54.0 0.0 1320.0 
600.0012013517252 3.3720930232558137 6.0 61.0 55.0 0.0 1338.0 
610.013444325759 3.2888888888888888 9.0 66.0 57.0 0.0 1387.0 
620.0025271356003 3.3617021276595747 6.0 66.0 60.0 0.0 1466.0 
630.0051878448159 3.3265306122448974 4.0 68.0 63.0 0.0 1532.0 
640.0032136668871 3.3265306122448974 5.0 68.0 63.0 0.0 1532.0 
650.003202709579 3.3600000000000003 2.0 68.0 66.0 0.0 1627.0 
660.0020059740408 3.392156862745098 1.0 68.0 67.0 0.0 1683.0 
670.0323868403897 3.411764705882353 2.0 70.0 68.0 0.0 1716.0 
680.0071600224494 3.411764705882353 3.0 71.0 68.0 0.0 1716.0 
690.0130096174399 3.403846153846154 1.0 71.0 70.0 0.0 1751.0 
700.0010026224531 3.3773584905660377 0.0 71.0 71.0 0.0 1772.0 
710.0121626970409 3.3773584905660377 1.0 72.0 71.0 0.0 1772.0 
720.0045147827169 3.3773584905660377 4.0 75.0 71.0 0.0 1772.0 
730.0117715750638 3.3773584905660377 5.0 76.0 71.0 0.0 1772.0 
740.0097992490552 3.3703703703703702 4.0 78.0 72.0 0.0 1797.0 
750.0054992234598 3.3392857142857144 5.0 80.0 74.0 0.0 1861.0 
760.0005351807345 3.4107142857142856 6.0 82.0 75.0 0.0 1896.0 
770.0063292313275 3.5344827586206895 5.0 83.0 80.0 0.0 2035.0 
780.0193841033796 3.5344827586206895 3.0 83.0 80.0 0.0 2035.0 
790.0060149382199 3.524590163934426 2.0 84.0 83.0 0.0 2120.0 
800.0055124918183 3.524590163934426 4.0 87.0 83.0 0.0 2120.0 
810.0175806926314 3.5396825396825395 2.0 88.0 86.0 0.0 2170.0 
820.0029637291175 3.5 2.0 89.0 87.0 0.0 2182.0 
830.0006160244989 3.5076923076923077 3.0 90.0 88.0 0.0 2206.0 
840.011945804492 3.4696969696969697 2.0 91.0 89.0 0.0 2223.0 
850.0080470003873 3.4626865671641793 2.0 92.0 90.0 0.0 2251.0 
860.0025042577449 3.4925373134328357 5.0 95.0 91.0 0.0 2276.0 
870.0016184135479 3.5223880597014925 5.0 97.0 92.0 0.0 2291.0 
880.0049411309457 3.5735294117647056 2.0 97.0 95.0 0.0 2355.0 
890.0068211594112 3.6231884057971016 3.0 99.0 97.0 0.0 2403.0 
900.0163329182841 3.585714285714286 3.0 101.0 98.0 0.0 2418.0 
910.0254527387234 3.591549295774648 2.0 101.0 99.0 0.0 2438.0 
920.0022901655443 3.591549295774648 3.0 102.0 99.0 0.0 2438.0 
930.0005152373651 3.6619718309859155 4.0 104.0 100.0 0.0 2463.0 
940.000155112439 3.6301369863013697 2.0 105.0 103.0 0.0 2537.0 
950.0000416730991 3.6575342465753424 1.0 107.0 105.0 0.0 2563.0 
960.0007981833912 3.6575342465753424 4.0 109.0 105.0 0.0 2563.0 
970.006753461557 3.6486486486486482 2.0 109.0 107.0 0.0 2595.0 
980.0071894072513 3.7162162162162167 0.0 109.0 109.0 0.0 2651.0 
990.0009042780316 3.7162162162162167 4.0 113.0 109.0 0.0 2651.0 
1000.0014519370404 3.72972972972973 5.0 115.0 110.0 0.0 2666.0 
1010.0113128150957 3.8133333333333335 4.0 116.0 114.0 0.0 2743.0 
1020.0008551498169 3.8133333333333335 2.0 116.0 114.0 0.0 2743.0 
1030.0154903944003 3.92 4.0 120.0 116.0 0.0 2793.0 
1040.0119256831174 3.92 6.0 122.0 116.0 0.0 2793.0 
1050.0048178777427 3.933333333333333 5.0 122.0 117.0 0.0 2810.0 
1060.0138618122758 4.078947368421053 0.0 122.0 122.0 0.0 2926.0 
1070.0077124578083 4.078947368421053 2.0 124.0 122.0 0.0 2926.0 
1080.0341155956623 4.078947368421053 3.0 125.0 122.0 0.0 2926.0 
1090.0080963361459 4.092105263157895 2.0 125.0 123.0 0.0 2944.0 
1100.0070148541176 4.0519480519480515 2.0 126.0 124.0 0.0 2961.0 
1110.0156631469185 4.0519480519480515 2.0 126.0 124.0 0.0 2961.0 
1120.0001770817748 4.129870129870129 4.0 129.0 125.0 0.0 3004.0 
1130.005644292666 4.129870129870129 5.0 130.0 125.0 0.0 3004.0 
1140.0189890597158 4.0625 3.0 130.0 128.0 0.0 3064.0 
1150.021832956061 4.075 2.0 131.0 129.0 0.0 3082.0 
1160.0053976547567 4.074074074074074 2.0 132.0 130.0 0.0 3148.0 
1170.0003706153436 4.086419753086419 3.0 134.0 131.0 0.0 3164.0 
1180.0093172103338 4.135802469135802 2.0 134.0 132.0 0.0 3189.0 
1190.0220557513585 4.109756097560975 1.0 135.0 134.0 0.0 3218.0 
1200.006637610639 4.109756097560975 2.0 136.0 134.0 0.0 3218.0 
1210.004597213757 4.072289156626506 2.0 137.0 135.0 0.0 3231.0 
1220.0062472183968 4.0476190476190474 1.0 137.0 136.0 0.0 3248.0 
1230.0018300387267 4.011764705882353 1.0 140.0 137.0 0.0 3265.0 
1240.0085812321656 4.023529411764706 2.0 140.0 138.0 0.0 3278.0 
1250.0062564955495 4.047058823529412 1.0 140.0 139.0 0.0 3296.0 
1260.0010532805663 4.094117647058823 0.0 140.0 140.0 0.0 3317.0 
1270.0018728032367 4.094117647058823 0.0 140.0 140.0 0.0 3317.0 
1280.006176858521 4.094117647058823 0.0 140.0 140.0 0.0 3317.0 
1290.0017975853589 4.094117647058823 0.0 140.0 140.0 0.0 3317.0 
1300.0063828509706 4.094117647058823 1.0 141.0 140.0 0.0 3317.0 
1310.0009538710594 4.094117647058823 3.0 143.0 140.0 0.0 3317.0 
1320.0017589775186 4.117647058823529 2.0 143.0 141.0 0.0 3333.0 
1330.004329461518 4.141176470588236 3.0 145.0 142.0 0.0 3351.0 
1340.0049576112353 4.211764705882353 1.0 146.0 145.0 0.0 3416.0 
1350.0034387806381 4.223529411764706 4.0 150.0 146.0 0.0 3430.0 
1360.0091790953938 4.247058823529412 5.0 152.0 147.0 0.0 3442.0 
1370.0025640997837 4.22093023255814 4.0 152.0 148.0 0.0 3465.0 
1380.0119543997898 4.275862068965518 2.0 153.0 151.0 0.0 3550.0 
1390.0050783831305 4.25 3.0 155.0 152.0 0.0 3576.0 
