#####################################################################
# Alchemist log file - simulation started at: 2020-01-14T00:27+0000 #
#####################################################################
# seed = 20.0, cloudcost = 0, taskFrequency = 0.005, algorithm = false
#
# The columns have the following meaning: 
# time taskHops[Mean] hasTask[Sum] tasks[Sum] completedTasks[Sum] giveupTasks[Sum] taskLatency[Sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0 
10.0016372297128 NaN 5.0 7.0 0.0 0.0 0.0 
20.00180946466823 NaN 9.0 9.0 0.0 0.0 0.0 
30.007129335538295 NaN 12.0 13.0 0.0 0.0 0.0 
40.000113546410404 NaN 15.0 15.0 0.0 0.0 0.0 
50.000127045266815 NaN 20.0 20.0 0.0 0.0 0.0 
60.001915197413865 NaN 23.0 24.0 0.0 0.0 0.0 
70.00570650454125 NaN 26.0 26.0 0.0 0.0 0.0 
80.0055220869039 NaN 33.0 34.0 0.0 0.0 0.0 
90.01049969752425 NaN 34.0 35.0 0.0 0.0 0.0 
100.01057679435837 NaN 39.0 39.0 0.0 0.0 0.0 
110.01104218594092 0.0 39.0 41.0 0.0 3.0 312.0 
120.00674690587446 0.0 42.0 48.0 0.0 4.0 420.0 
130.0009665451823 0.0 43.0 52.0 0.0 9.0 951.0 
140.00903716110926 0.0 40.0 54.0 0.0 14.0 1499.0 
150.00227923446587 0.0 42.0 59.0 0.0 18.0 1914.0 
160.015038694197 0.047619047619047596 46.0 67.0 1.0 20.0 2143.0 
170.01933753799267 0.04166666666666668 48.0 72.0 1.0 23.0 2456.0 
180.0049874134619 0.03225806451612905 47.0 78.0 1.0 30.0 3178.0 
190.00059729933454 0.029411764705882346 46.0 81.0 1.0 33.0 3487.0 
200.0027520571415 0.02631578947368423 44.0 82.0 1.0 37.0 3896.0 
210.00702653303478 0.02439024390243901 43.0 84.0 1.0 40.0 4203.0 
220.00617146647676 0.04444444444444443 42.0 86.0 1.0 44.0 4715.0 
230.01364211732778 0.038461538461538436 38.0 90.0 1.0 51.0 5441.0 
240.01115902679888 0.03703703703703708 39.0 95.0 1.0 53.0 5646.0 
250.00922363811085 0.03571428571428568 41.0 97.0 1.0 55.0 5850.0 
260.00020346924697 0.03278688524590161 39.0 100.0 1.0 61.0 6473.0 
270.0281873942771 0.029850746268656688 33.0 103.0 1.0 69.0 7298.0 
280.0026929830298 0.029411764705882394 33.0 107.0 1.0 72.0 7606.0 
290.00504371806403 0.02816901408450707 34.0 110.0 1.0 76.0 8025.0 
300.0016753135241 0.027777777777777814 36.0 114.0 1.0 77.0 8131.0 
310.01404462938433 0.027027027027027067 35.0 116.0 1.0 80.0 8442.0 
320.0011567556749 0.026666666666666703 38.0 119.0 1.0 81.0 8544.0 
330.0016010724501 0.02597402597402597 42.0 127.0 1.0 85.0 9053.0 
340.00097593971697 0.025316455696202562 40.0 129.0 1.0 87.0 9262.0 
350.00476167352673 0.024390243902439008 38.0 132.0 1.0 93.0 9910.0 
360.0076693310488 0.024390243902439008 39.0 136.0 1.0 95.0 10117.0 
370.0119331479695 0.024390243902439008 40.0 137.0 1.0 96.0 10221.0 
380.00498856640513 0.022727272727272745 34.0 138.0 1.0 104.0 11172.0 
390.0044029139934 0.021978021978022007 30.0 140.0 1.0 108.0 11584.0 
400.000501539328 0.021978021978022007 32.0 144.0 1.0 110.0 11790.0 
410.00853781349997 0.02150537634408604 35.0 148.0 1.0 112.0 11996.0 
420.01430332603053 0.021276595744680882 34.0 151.0 1.0 116.0 12404.0 
430.00419616175935 0.020408163265306103 33.0 154.0 1.0 121.0 12924.0 
440.00443802869574 0.020202020202020235 30.0 157.0 1.0 125.0 13335.0 
450.02993170873583 0.01980198019801979 32.0 161.0 1.0 128.0 13695.0 
460.00758664482424 0.01980198019801979 29.0 163.0 1.0 132.0 14113.0 
470.0068951964332 0.019607843137254926 30.0 167.0 1.0 135.0 14429.0 
480.0056043651954 0.019607843137254926 36.0 172.0 1.0 136.0 14531.0 
490.002385379278 0.019607843137254926 36.0 175.0 1.0 137.0 14633.0 
500.00558468093067 0.019607843137254926 35.0 175.0 1.0 140.0 14941.0 
510.01153001392913 0.019417475728155345 32.0 175.0 1.0 142.0 15150.0 
520.006661360574 0.01886792452830189 28.0 175.0 1.0 146.0 15566.0 
530.0075127078152 0.018518518518518493 29.0 180.0 1.0 150.0 15985.0 
540.0042472185914 0.018518518518518493 29.0 182.0 1.0 152.0 16190.0 
550.0036261659114 0.018181818181818223 31.0 188.0 1.0 156.0 16650.0 
560.0159042861574 0.018181818181818223 31.0 191.0 1.0 159.0 16985.0 
570.0108161234515 0.018181818181818223 30.0 193.0 1.0 162.0 17298.0 
580.002924230214 0.018018018018017994 28.0 196.0 1.0 166.0 17709.0 
590.0119535079585 0.018018018018017994 27.0 198.0 1.0 170.0 18123.0 
600.0235887926472 0.018018018018017994 33.0 204.0 1.0 170.0 18123.0 
610.0215778537355 0.018018018018017994 34.0 205.0 1.0 170.0 18123.0 
620.0000372332407 0.018018018018017994 38.0 209.0 1.0 170.0 18123.0 
630.0071772759131 0.017699115044247763 37.0 210.0 1.0 172.0 18332.0 
640.0004921458428 0.017391304347826125 31.0 211.0 1.0 179.0 19539.0 
650.0056467341143 0.01724137931034485 30.0 213.0 1.0 184.0 20052.0 
660.0183881951482 0.01724137931034485 30.0 219.0 1.0 187.0 20366.0 
670.0173062367899 0.01724137931034485 32.0 221.0 1.0 189.0 20655.0 
680.00224881053 0.01724137931034485 33.0 226.0 1.0 192.0 20972.0 
690.0084960450972 0.01724137931034485 32.0 229.0 1.0 196.0 21385.0 
700.0061247567309 0.017094017094017106 34.0 234.0 1.0 200.0 21798.0 
710.0144897494904 0.016949152542372913 32.0 236.0 1.0 203.0 22112.0 
720.0128493934066 0.016949152542372913 32.0 239.0 1.0 206.0 22421.0 
730.000789499537 0.016949152542372913 33.0 241.0 1.0 207.0 22523.0 
740.0052966508022 0.016949152542372913 36.0 245.0 1.0 208.0 22625.0 
750.001568429069 0.016949152542372913 38.0 248.0 1.0 209.0 22730.0 
760.0056060788464 0.01680672268907564 37.0 251.0 1.0 214.0 23246.0 
770.0004752948108 0.01680672268907564 38.0 255.0 1.0 216.0 23451.0 
780.0035269758388 0.01680672268907564 37.0 257.0 1.0 220.0 23866.0 
790.0024609994648 0.016666666666666677 37.0 262.0 1.0 223.0 24177.0 
800.0122627815512 0.024793388429752053 36.0 266.0 1.0 229.0 24831.0 
810.0050687826752 0.024793388429752053 38.0 271.0 1.0 231.0 25039.0 
820.0030562442714 0.024793388429752053 41.0 274.0 1.0 232.0 25142.0 
830.0007476918558 0.024793388429752053 40.0 276.0 1.0 234.0 25353.0 
840.003013897156 0.024793388429752053 40.0 279.0 1.0 238.0 25879.0 
850.0125760633699 0.024590163934426215 40.0 284.0 1.0 243.0 26398.0 
860.0110235804283 0.024590163934426215 40.0 286.0 1.0 245.0 26603.0 
870.0085349370711 0.024590163934426215 39.0 290.0 1.0 249.0 27017.0 
880.0088816225019 0.024590163934426215 42.0 294.0 1.0 251.0 27281.0 
890.0009973594401 0.024590163934426215 35.0 296.0 1.0 259.0 28296.0 
900.0058684889416 0.024590163934426215 37.0 300.0 1.0 262.0 28608.0 
910.0150578079391 0.024590163934426215 39.0 306.0 1.0 266.0 29020.0 
920.0006480915041 0.024390243902439004 38.0 309.0 1.0 270.0 29440.0 
930.0142948152087 0.024390243902439004 40.0 312.0 1.0 270.0 29440.0 
940.0027488056836 0.024390243902439004 43.0 318.0 1.0 275.0 29959.0 
950.0000767362959 0.024390243902439004 40.0 321.0 1.0 279.0 30374.0 
960.0029835332734 0.024390243902439004 40.0 323.0 1.0 281.0 30580.0 
970.0090948215053 0.032520325203251974 38.0 325.0 2.0 285.0 31464.0 
980.0259449080787 0.032520325203251974 37.0 328.0 2.0 288.0 31781.0 
990.0028415205263 0.032520325203251974 40.0 336.0 2.0 292.0 32201.0 
1000.0252202266695 0.032520325203251974 41.0 339.0 2.0 295.0 32515.0 
1010.0107637926842 0.032520325203251974 39.0 341.0 2.0 300.0 33029.0 
1020.0191981337226 0.032520325203251974 33.0 341.0 2.0 306.0 33655.0 
1030.0005521068842 0.032520325203251974 32.0 341.0 2.0 308.0 33860.0 
1040.0143727944103 0.03199999999999997 30.0 343.0 2.0 315.0 34576.0 
1050.0142576146438 0.03199999999999997 25.0 344.0 2.0 317.0 34785.0 
1060.002403882416 0.03199999999999997 26.0 348.0 2.0 319.0 34994.0 
1070.0124531152517 0.03199999999999997 28.0 351.0 2.0 320.0 35098.0 
1080.0073576537131 0.03199999999999997 30.0 354.0 2.0 322.0 35304.0 
1090.0003317136566 0.03199999999999997 30.0 356.0 2.0 325.0 35614.0 
1100.0074735656228 0.03199999999999997 27.0 360.0 2.0 332.0 36361.0 
1110.0038931604263 0.03199999999999997 26.0 364.0 2.0 335.0 36701.0 
1120.0144033635192 0.03999999999999997 30.0 369.0 3.0 336.0 37116.0 
1130.0108523960066 0.047999999999999966 34.0 374.0 4.0 336.0 37177.0 
1140.005037605511 0.07999999999999995 33.0 374.0 5.0 337.0 37302.0 
1150.0110247068974 0.07999999999999995 30.0 375.0 5.0 340.0 37662.0 
1160.0143352902444 0.07999999999999995 32.0 381.0 5.0 343.0 37973.0 
1170.0013915377547 0.07999999999999995 34.0 382.0 5.0 343.0 37973.0 
1180.0049765884548 0.1119999999999999 33.0 386.0 6.0 347.0 38418.0 
1190.00047866527 0.1119999999999999 32.0 388.0 6.0 350.0 38727.0 
1200.0029165581263 0.1119999999999999 35.0 392.0 6.0 351.0 38830.0 
1210.0104614482789 0.1119999999999999 31.0 395.0 6.0 357.0 39591.0 
1220.0069409678201 0.1119999999999999 33.0 398.0 6.0 360.0 39907.0 
1230.0087448325955 0.1119999999999999 26.0 401.0 6.0 368.0 40812.0 
1240.0118501146364 0.1119999999999999 32.0 406.0 6.0 368.0 40812.0 
1250.0071485859244 0.1119999999999999 32.0 407.0 6.0 369.0 40914.0 
1260.0116050025306 0.1119999999999999 33.0 409.0 6.0 371.0 41122.0 
1270.0088445437655 0.1119999999999999 33.0 413.0 6.0 374.0 41434.0 
1280.0051555865487 0.1119999999999999 34.0 416.0 6.0 376.0 41643.0 
1290.0327276811324 0.1119999999999999 35.0 420.0 6.0 379.0 41984.0 
1300.0155815083472 0.1119999999999999 33.0 420.0 6.0 382.0 42293.0 
1310.0020506080389 0.1119999999999999 31.0 422.0 6.0 385.0 42690.0 
1320.000916011891 0.12000000000000022 26.0 424.0 6.0 390.0 43212.0 
1330.0011168454023 0.12000000000000022 29.0 426.0 6.0 391.0 43314.0 
1340.011761223882 0.12000000000000022 26.0 429.0 6.0 397.0 43973.0 
1350.0193844588762 0.12000000000000022 26.0 432.0 6.0 400.0 44279.0 
1360.0171624723623 0.12000000000000022 26.0 434.0 6.0 402.0 44486.0 
1370.0018784212195 0.12000000000000022 26.0 436.0 6.0 405.0 44799.0 
1380.0013356423872 0.12000000000000022 26.0 439.0 6.0 408.0 45114.0 
1390.0024901969016 0.12000000000000022 25.0 442.0 6.0 411.0 45424.0 
1400.0055749737264 0.12000000000000022 26.0 445.0 6.0 412.0 45528.0 
1410.005344458755 0.12000000000000022 30.0 449.0 6.0 414.0 45734.0 
1420.008849240966 0.12000000000000022 29.0 449.0 6.0 414.0 45734.0 
1430.003675350492 0.12000000000000022 33.0 454.0 6.0 415.0 45837.0 
1440.010071607265 0.12000000000000022 34.0 459.0 6.0 419.0 46267.0 
1450.003703692462 0.12000000000000022 33.0 464.0 6.0 424.0 46862.0 
1460.0094547880756 0.12000000000000022 35.0 466.0 6.0 425.0 46964.0 
1470.0063484680243 0.12000000000000022 37.0 470.0 6.0 427.0 47170.0 
1480.0008152059393 0.12000000000000022 36.0 474.0 6.0 431.0 47636.0 
1490.0002710761057 0.12000000000000022 38.0 478.0 6.0 434.0 48144.0 
1500.0094988593034 0.12000000000000022 40.0 482.0 6.0 436.0 48352.0 
1510.0276073156185 0.12000000000000022 38.0 485.0 6.0 441.0 48869.0 
1520.0019886546852 0.12000000000000022 41.0 489.0 6.0 442.0 48975.0 
1530.005734728208 0.12000000000000022 44.0 493.0 6.0 445.0 49284.0 
1540.0016588853787 0.12000000000000022 40.0 496.0 6.0 450.0 49798.0 
1550.0012490884205 0.12000000000000022 37.0 497.0 6.0 454.0 50226.0 
1560.0024354974532 0.1360000000000003 39.0 504.0 6.0 459.0 50748.0 
1570.0439487031745 0.1360000000000003 40.0 507.0 6.0 461.0 50954.0 
1580.0130518527658 0.1360000000000003 41.0 512.0 6.0 464.0 51268.0 
1590.0085745875385 0.14399999999999988 41.0 516.0 6.0 469.0 51789.0 
1600.0046650350419 0.14399999999999988 45.0 522.0 6.0 472.0 52100.0 
1610.0250047400482 0.14399999999999988 46.0 527.0 6.0 475.0 52411.0 
1620.019719585951 0.14399999999999988 45.0 530.0 6.0 479.0 52822.0 
1630.0090310360072 0.14399999999999988 43.0 531.0 6.0 483.0 53243.0 
1640.008738983321 0.14399999999999988 42.0 535.0 6.0 486.0 53552.0 
1650.0221911368712 0.14399999999999988 43.0 538.0 6.0 489.0 53908.0 
1660.0072684374554 0.14399999999999988 43.0 541.0 6.0 493.0 54407.0 
1670.0030704530895 0.14399999999999988 40.0 544.0 6.0 498.0 54929.0 
1680.00571936588 0.14399999999999988 37.0 545.0 6.0 502.0 55527.0 
1690.031006349635 0.14399999999999988 35.0 547.0 6.0 507.0 56047.0 
1700.0020570418276 0.1520000000000003 33.0 549.0 7.0 511.0 56566.0 
1710.0259335089054 0.1520000000000003 28.0 551.0 7.0 516.0 57128.0 
1720.00058010714 0.1520000000000003 31.0 556.0 7.0 518.0 57334.0 
1730.001926841823 0.1520000000000003 29.0 558.0 7.0 521.0 57645.0 
1740.0282006601074 0.1520000000000003 34.0 563.0 7.0 523.0 57850.0 
1750.0065971027393 0.1520000000000003 29.0 565.0 7.0 529.0 58520.0 
1760.0127657401033 0.1520000000000003 30.0 568.0 7.0 531.0 58729.0 
1770.006511502095 0.1520000000000003 29.0 570.0 7.0 534.0 59139.0 
1780.0123019525274 0.1520000000000003 30.0 573.0 7.0 536.0 59351.0 
1790.033696562785 0.1520000000000003 35.0 581.0 7.0 539.0 59668.0 
1800.0030371038747 0.1520000000000003 38.0 584.0 7.0 541.0 59874.0 
1810.0216987611345 0.1520000000000003 39.0 588.0 7.0 542.0 60089.0 
1820.001013329732 0.1520000000000003 35.0 589.0 7.0 548.0 60703.0 
1830.0077357593639 0.1520000000000003 35.0 591.0 7.0 548.0 60703.0 
1840.0018562607897 0.1520000000000003 30.0 592.0 7.0 555.0 61443.0 
1850.009394977986 0.1520000000000003 29.0 594.0 7.0 556.0 61545.0 
1860.0086398618575 0.184 29.0 595.0 8.0 559.0 61945.0 
1870.007362301079 0.184 30.0 599.0 8.0 561.0 62157.0 
1880.006450000223 0.184 29.0 602.0 8.0 564.0 62468.0 
1890.0217486828203 0.184 32.0 607.0 8.0 568.0 62879.0 
1900.0124019036368 0.184 27.0 608.0 8.0 573.0 63402.0 
1910.0118443349313 0.184 26.0 612.0 8.0 578.0 63917.0 
1920.0023277052392 0.184 30.0 617.0 8.0 579.0 64027.0 
1930.000973123131 0.184 33.0 623.0 8.0 582.0 64442.0 
