#####################################################################
# Alchemist log file - simulation started at: 2020-01-15T08:07+0000 #
#####################################################################
# seed = 3.0, taskFrequency = 0.0075, cloudcost = 3.0, algorithm = false
#
# The columns have the following meaning: 
# time taskHops[Mean] hasTask[Sum] tasks[Sum] completedTasks[Sum] giveupTasks[Sum] taskLatency[Sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0 
2.001635961921367 NaN 1.0 1.0 0.0 0.0 0.0 
4.001635961921367 NaN 1.0 1.0 0.0 0.0 0.0 
6.001635961921367 NaN 2.0 2.0 0.0 0.0 0.0 
8.001635961921366 NaN 2.0 2.0 0.0 0.0 0.0 
10.001635961921366 NaN 3.0 3.0 0.0 0.0 0.0 
12.001635961921366 NaN 4.0 4.0 0.0 0.0 0.0 
14.001635961921366 NaN 7.0 7.0 0.0 0.0 0.0 
16.001635961921366 NaN 8.0 8.0 0.0 0.0 0.0 
18.001635961921366 NaN 8.0 8.0 0.0 0.0 0.0 
20.001635961921366 NaN 13.0 14.0 0.0 0.0 0.0 
22.001635961921366 NaN 17.0 18.0 0.0 0.0 0.0 
24.001635961921366 NaN 19.0 19.0 0.0 0.0 0.0 
26.001635961921366 NaN 20.0 22.0 0.0 0.0 0.0 
28.001635961921366 NaN 22.0 22.0 0.0 0.0 0.0 
30.001635961921366 NaN 23.0 23.0 0.0 0.0 0.0 
32.001635961921366 NaN 24.0 24.0 0.0 0.0 0.0 
34.001635961921366 NaN 24.0 24.0 0.0 0.0 0.0 
36.001635961921366 NaN 26.0 26.0 0.0 0.0 0.0 
38.001635961921366 NaN 26.0 27.0 0.0 0.0 0.0 
40.001635961921366 NaN 27.0 27.0 0.0 0.0 0.0 
42.001635961921366 NaN 27.0 27.0 0.0 0.0 0.0 
44.001635961921366 NaN 28.0 28.0 0.0 0.0 0.0 
46.001635961921366 NaN 28.0 28.0 0.0 0.0 0.0 
48.001635961921366 NaN 30.0 31.0 0.0 0.0 0.0 
50.001635961921366 NaN 31.0 31.0 0.0 0.0 0.0 
52.001635961921366 NaN 32.0 32.0 0.0 0.0 0.0 
54.001635961921366 NaN 34.0 34.0 0.0 0.0 0.0 
56.001635961921366 NaN 35.0 35.0 0.0 0.0 0.0 
58.001635961921366 NaN 37.0 37.0 0.0 0.0 0.0 
60.001635961921366 NaN 39.0 40.0 0.0 0.0 0.0 
62.001635961921366 NaN 41.0 42.0 0.0 0.0 0.0 
64.00163596192137 NaN 43.0 43.0 0.0 0.0 0.0 
66.00163596192137 NaN 43.0 44.0 0.0 0.0 0.0 
68.00163596192137 NaN 44.0 44.0 0.0 0.0 0.0 
70.00163596192137 NaN 45.0 45.0 0.0 0.0 0.0 
72.00163596192137 NaN 46.0 47.0 0.0 0.0 0.0 
74.00163596192137 NaN 48.0 48.0 0.0 0.0 0.0 
76.00163596192137 NaN 48.0 48.0 0.0 0.0 0.0 
78.00163596192137 NaN 49.0 50.0 0.0 0.0 0.0 
80.00163596192137 NaN 51.0 52.0 0.0 0.0 0.0 
82.00163596192137 NaN 53.0 53.0 0.0 0.0 0.0 
84.00163596192137 NaN 54.0 54.0 0.0 0.0 0.0 
86.00163596192137 NaN 55.0 56.0 0.0 0.0 0.0 
88.00163596192137 NaN 56.0 56.0 0.0 0.0 0.0 
90.00163596192137 NaN 56.0 56.0 0.0 0.0 0.0 
92.00163596192137 NaN 56.0 56.0 0.0 0.0 0.0 
94.00163596192137 NaN 56.0 56.0 0.0 0.0 0.0 
96.00163596192137 NaN 56.0 56.0 0.0 0.0 0.0 
98.00163596192137 NaN 58.0 58.0 0.0 0.0 0.0 
100.00163596192137 NaN 58.0 59.0 0.0 0.0 0.0 
102.00163596192137 NaN 61.0 62.0 0.0 0.0 0.0 
104.00163596192137 NaN 63.0 63.0 0.0 0.0 0.0 
106.00163596192137 NaN 64.0 64.0 0.0 0.0 0.0 
108.00163596192137 NaN 65.0 65.0 0.0 0.0 0.0 
110.00163596192137 NaN 66.0 66.0 0.0 0.0 0.0 
112.00163596192137 NaN 66.0 66.0 0.0 0.0 0.0 
114.00163596192137 3.0 68.0 68.0 0.0 1.0 103.0 
116.00163596192137 3.0 68.0 69.0 0.0 1.0 103.0 
118.00163596192137 3.0 68.0 69.0 0.0 2.0 206.0 
120.00163596192137 3.0 67.0 69.0 0.0 2.0 206.0 
122.00163596192137 3.0 67.0 69.0 0.0 4.0 417.0 
124.00163596192137 3.0 63.0 69.0 0.0 7.0 744.0 
126.00163596192137 3.0 61.0 69.0 0.0 9.0 959.0 
128.00163596192135 3.0 59.0 69.0 0.0 12.0 1274.0 
130.00163596192135 3.0 55.0 69.0 0.0 14.0 1487.0 
132.00163596192135 3.0 55.0 69.0 0.0 14.0 1487.0 
134.00163596192135 3.0 55.0 69.0 0.0 15.0 1589.0 
136.00163596192135 3.0 53.0 69.0 0.0 16.0 1695.0 
138.00163596192135 3.0 55.0 71.0 0.0 18.0 1900.0 
140.00163596192135 3.0 54.0 72.0 0.0 18.0 1900.0 
142.00163596192135 3.0 53.0 72.0 0.0 19.0 2003.0 
144.00163596192135 3.0 53.0 72.0 0.0 19.0 2003.0 
146.00163596192135 3.0 53.0 73.0 0.0 20.0 2105.0 
148.00163596192135 3.0 53.0 73.0 0.0 20.0 2105.0 
150.00163596192135 3.0 55.0 76.0 0.0 22.0 2344.0 
152.00163596192135 3.0 54.0 78.0 0.0 23.0 2447.0 
154.00163596192135 3.0 54.0 79.0 0.0 25.0 2698.0 
156.00163596192135 3.0 54.0 79.0 0.0 26.0 2800.0 
158.00163596192135 3.0 52.0 79.0 0.0 27.0 2937.0 
160.00163596192135 3.0 50.0 80.0 0.0 29.0 3188.0 
162.00163596192135 3.0 50.0 81.0 0.0 34.0 3748.0 
164.00163596192135 3.0 46.0 82.0 0.0 36.0 3953.0 
166.00163596192135 3.0 45.0 83.0 0.0 38.0 4158.0 
168.00163596192135 3.0 46.0 84.0 0.0 38.0 4158.0 
170.00163596192135 3.0 46.0 85.0 0.0 39.0 4261.0 
172.00163596192135 3.0 47.0 87.0 0.0 40.0 4364.0 
174.00163596192135 3.0 46.0 87.0 0.0 41.0 4466.0 
176.00163596192135 3.0 45.0 87.0 0.0 43.0 4672.0 
178.00163596192135 3.0 45.0 88.0 0.0 43.0 4672.0 
180.00163596192135 3.0 46.0 90.0 0.0 44.0 4774.0 
182.00163596192135 3.0 45.0 90.0 0.0 46.0 4979.0 
184.00163596192135 3.0 45.0 93.0 0.0 48.0 5184.0 
186.00163596192135 3.0 47.0 95.0 0.0 49.0 5287.0 
188.00163596192135 3.0 48.0 99.0 0.0 49.0 5287.0 
190.00163596192135 3.0 50.0 100.0 0.0 50.0 5390.0 
192.00163596192135 3.0 50.0 100.0 0.0 50.0 5390.0 
194.00163596192135 3.0 51.0 102.0 0.0 50.0 5390.0 
196.00163596192135 3.0 52.0 102.0 0.0 50.0 5390.0 
198.00163596192135 3.0 52.0 102.0 0.0 50.0 5390.0 
200.00163596192135 3.0 52.0 103.0 0.0 52.0 5594.0 
202.00163596192135 3.0 51.0 103.0 0.0 52.0 5594.0 
204.00163596192135 3.0 52.0 105.0 0.0 54.0 5873.0 
206.00163596192135 3.0 50.0 105.0 0.0 56.0 6078.0 
208.00163596192135 3.0 48.0 105.0 0.0 57.0 6180.0 
210.00163596192135 3.0 48.0 105.0 0.0 58.0 6283.0 
212.00163596192135 3.0 47.0 105.0 0.0 59.0 6386.0 
214.00163596192135 3.0 46.0 105.0 0.0 59.0 6386.0 
216.00163596192135 3.0 45.0 108.0 0.0 62.0 6785.0 
218.00163596192135 3.0 47.0 109.0 0.0 63.0 6946.0 
220.00163596192135 3.0 46.0 109.0 0.0 63.0 6946.0 
222.00163596192135 3.0 47.0 110.0 0.0 63.0 6946.0 
224.00163596192135 3.0 49.0 112.0 0.0 63.0 6946.0 
226.00163596192135 3.0 50.0 113.0 0.0 63.0 6946.0 
228.00163596192135 3.0 50.0 113.0 0.0 63.0 6946.0 
230.00163596192135 3.0 51.0 115.0 0.0 63.0 6946.0 
232.00163596192135 3.0 53.0 116.0 0.0 63.0 6946.0 
234.00163596192135 3.0 54.0 117.0 0.0 63.0 6946.0 
236.00163596192135 3.0 55.0 118.0 0.0 63.0 6946.0 
238.00163596192135 3.0 55.0 118.0 0.0 63.0 6946.0 
240.00163596192135 3.0 54.0 120.0 0.0 65.0 7150.0 
242.00163596192135 3.046153846153846 55.0 120.0 0.0 66.0 7253.0 
244.00163596192135 3.046153846153846 54.0 120.0 0.0 66.0 7253.0 
246.00163596192135 3.046153846153846 54.0 120.0 0.0 66.0 7253.0 
248.00163596192135 3.046153846153846 54.0 120.0 0.0 66.0 7253.0 
